IE_XML_ID;IE_NAME
327;Унитаз напольный Rosa Евро, косой выпуск, сиденье полипропилен
336;Подвесная раковина-мини Sanita Лада
338;Подвесная раковина Santeri Радиан угловая
341;Раковина Jika Zeta 50
344;Раковина накладная Opoczno Malmo 60
345;Подвесная раковина Rosa Комфорт 
365;Ванна гидромассажная Appollo 150/100
366;Ванна стальная  WhiteWave 150*75 см
368;Bravat Stream Смеситель для ванны (F63783С-LB)
448;Приставной унитаз напольный JIKA MIO  soft-close
453;Напольный унитаз Jika Zeta, сиденье дюропласт
454;Напольный унитаз Jika Era, горизонтальный выпуск, сиденье дюропласт
455;Напольный унитаз Jika Lyra, косой выпуск, сиденье дюропласт
458;Унитаз напольный Jika TIGO, универсальный выпуск, сиденье дюропласт 
459;Напольный унитаз JIKA MIO Soft-Close 
481;Детский унитаз Jika Baby, горизонтальный выпуск, сиденье дюропласт
492;Унитаз-компакт CERSANIT CARINA дюропласт SLIM Soft-close
499;Унитаз-компакт SANITA LUXE Infinity, универсальный выпуск, сиденье дюропласт soft close
501;Унитаз-компакт Art Flora, универсальный выпуск, сиденье дюропласт soft close
502;Унитаз-компакт Sanita LUX Best Sea сиденье Clip-up
503;Унитаз-компакт Best Black, универсальный выпуск, сиденье дюропласт soft close
504;Унитаз-компакт Sanita Luxe Best Red, универсальный выход сиденье дюропласт soft close
505;Sanita-luxe Унитаз-компакт Best,Comfort
506;Sanita-luxe Унитаз-компакт Art, Comfort
507;Sanita luxe  Унитаз-компакт Next Comfort
508;Sanita-luxe Унитаз-компакт Classic Comfort
511;Унитаз Laufen Pro-Nordics, универсальный выпуск, сиденье дюропласт soft close
514;Унитаз напольный детский Laufen Flora kids
515;Унитаз-компакт Laufen Palombo, с сидением  SOFT-CLOSE
516;Унитаз Laufen Pro New с сиденьем дюропласт soft close 
521;Подвесной унитаз Colombo Вектор, сиденье полипропилен
542;Унитаз-компакт Sanita Аттика Комфорт, косой выпуск, сиденье термопласт
546;Унитаз-компакт Sanita Самарский Комфорт, косой выпуск, сиденье дюропласт 
551;Унитаз-компакт Sanita Стандарт Комфорт
553;Унитаз-компакт Sanita Идеал Комфорт, косой выпуск, сиденье термопласт Soft-close
557;Унитаз-компакт Sanita Лада стандарт, косой выпуск, сиденье термопласт
559;Унитаз-компакт Sanita Стандарт эконом, косой выпуск, сиденье полипропилен
560;Унитаз Sanita Идеал стандарт, косой выпуск, сиденье полипропилен
562;Унитаз-компакт Sanita Аттика стандарт, косой выпуск, сиденье полипропилен
564;Унитаз-компакт Sanita Виктория, косой выпуск, сиденье дюропласт Soft-close
565;Унитаз-компакт Sanita Виктория стандарт, косой выпуск, сиденье полипропилен
720;"Унитаз-компакт Santek ""Цезарь, горизонтальный выпуск, сиденье дюропласт Soft-close"
721;"Унитаз Santek ""Сенатор"" антивсплеск, горизонтальный выпуск, сиденье дюропласт"
722;"Унитаз-компакт Santek ""Сенатор-Люкс"", горизонтальный выпуск, сиденье дюропласт"
724;Напольный унитаз-компакт Santek Римини, косой выпуск, сиденье полипропилен
729;Унитаз-компакт Santek Лига, косой выпуск, сиденье дюропласт
750;Унитаз-компакт Rosa Домино, косой выпуск, сиденье дюропласт soft close
751;Унитаз-компакт Rosa Поло, косой выпуск, сиденье дюропласт soft close
752;Унитаз-компакт Rosa Комфорт синий декор, косой выпуск, сиденье полипропилен
760;Унитаз - компакт Rosa Комфорт, косой выпуск, сиденье полипропилен
761;Унитаз - компакт Rosa Ресса,косой выпуск, сиденье полипропилен
762;Унитаз Rosa Премьер, косой выпуск, сиденье полипропилен
763;Унитаз напольный Rosa Лира, косой выпуск, сиденье полипропилен
769;Напольный унитаз-компакт Santeri Версия
772;Напольный унитаз-компакт Santeri Визит
773;Напольный унитаз-компакт Santeri Форвард, косой выпуск, сиденье полипропилен
774;Напольный унитаз-компакт Santeri Ультра
775;Напольный унитаз-компакт Santeri Соната
776;Напольный унитаз-компакт Santeri Воротынский
778;Напольный унитаз-компакт Santeri Вест
779;Напольный унитаз-компакт Santeri Виктория, косой выпуск, сиденье полипропилен
780;Унитаз-компакт Santeri Орион
781;Унитаз-компакт Santeri Лилия, горизонтальный выпуск
804;Унитаз приставной Roca GAP, сиденье дюропласт soft close
805;Унитаз Roca America, сиденье дюропласт soft close
806;Унитаз Roca Giralda, сиденье дюропласт soft close
852;Раковина Cersanit MITO Market 60
868;Подвесная Симметричная Раковина NANO 50 правая/левая
870;Подвесная Асимметричная раковина NANO 50 правая
880;Раковина встраиваемая сверху Cersanit Calla 54
903;Раковина на столешницу Cersanit Caspia Ring 44
904;Раковина на столешницу Cersanit Caspia Oval 60
905;Раковина на столешницу Cersanit Caspia Square 60
967;Подвесная раковина Sanita Веер, угловая
968;Подвесная раковина Sanita Комфорт
970;Раковина Sanita Самарская
972;Раковина Sanita Luxe BEST
973;Sanita-luxe Раковина Classic 65
974;Sanita-luxe Раковина Art 48
975;Sanita Luxe Раковина Art Flora 48
979;Подвесная раковина-мини Santek Бриз-40
981;Подвесная раковина Santek Форум 45 левый/правый
984;"Подвесная раковина Santek ""Анимо 40"""
986;Подвесная раковина Santek Ирис 36, угловая
988;Подвесная раковина Santek Бриз-50
1023;Раковина Santek Анимо 50
1032;Раковина Santek Бореаль-60
1035;Раковина Santek Ирис 60
1039;Подвесная раковина Santek Пилот-50
1040;Подвесная раковина Santek ПИЛОТ-60
1043;Подвесная раковина Santek Бриз-55
1046;Раковина Santek Бриз-60 без пьедистала
1050;Santeri  Раковина Воротынский 50
1053;Подвесная раковина Santeri Виктория 55
1056;Santeri Раковина Соната 50
1059;Подвесная раковина Santeri Вест 57 с пьедисталом
1071;Подвесная раковина Colombo Элегант
1088;Подвесная раковина Colombo Славута
1119;Раковина Jika Zeta 55
1122;Раковина Jika Zeta 60
1125;Подвесная раковина Jika Olymp 45, угловая
1128;Раковина Jika Olymp 50
1131;Раковина Jika Olymp 55
1134;Раковина Jika Olymp 60
1137;Раковина Jika Olymp 65
1141;Подвесная раковина Jika Olymp 55 угловая
1144;Раковина Jika Lyra 50
1147;Раковина Jika Lyra 55
1152;Раковина Jika Lyra 60
1156;Подвесная раковина Jika Cubito 55
1157;Подвесная раковина Jika Cubito 60
1158;Подвесная раковина Jika Cubito 65
1163;Подвесная раковина Jika MIO больничная
1164;Раковина встраиваемая снизу Jika Thalia 
1170;Подвесная раковина Laufen Pro 55
1173;Раковина Laufen Pro 60
1176;Подвесная раковина Laufen Pro 50 см
1179;Раковина LAUFEN PRO 65
1180;Раковина Laufen Palace 90 
1181;Подвесная раковина Laufen Pro 85
1182;Подвесная Раковина Laufen Pro 105/48
1183;Раковина встраиваемая снизу Laufen Pro 53 
1184;Накладная раковина Laufen Pro 60 
1185;Раковина накладная Laufen Pro 60
1186;Раковина встраиваемая сверху Laufen Pro 56 овальная
1189;Раковина встраиваемая сверху Laufen Pro 56 прямоугольная
1195;Раковина двойная Laufen Palomba 160
1196;Раковина напольная Laufen Palomba 
1198;Раковина на столешницу Laufen ALESSI ONE 160
1199;Напольная раковина Laufen ALESSI ONE
1200;Раковина - столешница Laufen LB3 100 см
1201;Раковина - столешница Laufen LB3 85 см
1202;Раковина Laufen LB3 65
1206;Раковина Laufen LB3 Classic 60 
1207;Подвесная Мини-раковина Laufen Flora-Kids
1210;Подвесная раковина Roca Meridian 65
1211;Подвесная раковина Roca Meridian 60, левая
1214;Roca раковина Meridian 85
1215;Подвесная раковина Roca Dama Senso 65
1220;Roca раковина Dama Senso 58/45
1223;Подвесная раковина Roca Dama N 65*46
1226;Roca раковина Dama N 55*46
1229;Roca раковина America 63
1244;Roca раковина Khroma 60
1252;Раковина накладная Opoczno Bilbao 70
1253;Раковина на столешницу Opoczno Malmo 80 правая/левая
1256;Раковина накладная Opoczno Kioto 80
1259;Раковина накладная Opoczno Kioto 90
1260;Раковина накладная Opoczno Bilbao 90
1261;Раковина с пьедесталом Rosa Ресса
1262;Раковина с пьедесталом Rosa Лотос (белый)
1268;Раковина тюльпан Керамин Гранд 55
1274;Раковина тюльпан Керамин Омега 55
1275;Раковина тюльпан Керамин Верона 60
1280;Раковина тюльпан Керамин Женева 60
1283;Подвесная раковина керамин Крокус
1286;Подвесная раковина Керамин Квадро 70
1289;Накладная раковина Керамин Арктик 65
1296;Подвесная раковина Керамин Сити 46
1307;Ванна Cersanit JOANNA 150*95 см, левая
1322;Ванна Cersanit LORENA 150*90 см, правая/левая
1325;Bанна Cersanit KALIOPE, 153*100 см, левая
1347;Ванна Santek МАЙОРКА 150*90 см, левая/правая
1353;Ванна Santek ГОА, 150*100 см, правая/левая
1356;Ванна Santek ИБИЦА, 150*100 см, левая/правая
1359;Ванна Santek МАЙОРКА XL 160*95 см, левая/правая
1364;Ванна Cersanit KALIOPE, 170*110 см правая
1368;Ванна Santek ИБИЦА XL 160*100 см, левая/правая
1376;Ванна SANTEK ЭДЕРА 170*110 см, правая/левая
1379;Ванна акриловая асимметричная Jika GENEVE, 150*100 см, правая, без панели
1382;Ванна акриловая асимметричная Jika CONSTANCE, 170*115 см, левая, с панелью
1424;Ванна FRESCO Primo 170*70 см
1451;Ванна Cersanit ZEN 180*85
1466;Bанна Cersanit SANTANA, 150*70 см
1474;Bанна Cersanit SANTANA, 170*70
1486;Bанна Cersanit NIKE, 170*70 см
1493;Bанна Cersanit VIRGO 150*75 см
1502;Bанна Cersanit VIRGO, 180*80 см
1515;Ванна Santek МОНАКО, 150*70 см
1518;Ванна Santek МОНАКО, 160*70 см
